개봉일람 검색,,,,,,,,,,,,,,,,,
검색조건:[조회기간:2011년~2018년 대표국적:전체 영화구분:전체 영화유형:개봉영화],,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
"6,822 ",내 친구의 엄마 2: 그녀가 여자로 보일 때 (무삭제),이진,(주)소나무픽쳐스,,(주)소나무픽쳐스,2017-12-04,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,823 ",내 친구의 엄마: 친구의 엄마와 아내를 탐하다,이진,(주)소나무픽쳐스,,(주)소나무픽쳐스,2017-05-10,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,824 ",내 친구의 엄마: 친구의 엄마와 아내를 탐하다(무삭제),이진,(주)소나무픽쳐스,,(주)소나무픽쳐스,2017-08-07,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,825 ",내 학생의 엄마 무삭제판,기대호,"(주)영화사 사계절,마법사필름",,(주)영화사 사계절,2017-01-19,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,826 ",내 학생의 엄마 2 무삭제,곽영근,(주)영화사가을,,(주)영화사가을,2018-02-23,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,827 ",내 형의 아내,김민식,(주)영화사가을,,(주)영화사가을,2017-02-02,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,828 ",내 형의 아내 무삭제판,김민식,(주)영화사가을,,(주)영화사가을,2017-07-20,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,829 ",내남자의 모든것,마스부치 가키토,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-04-05,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,830 ",내딸 : 아찔한 동거,최석원,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2018-03-08,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,,청소년관람불가,상업영화
"6,831 ",내안의 음란한 성욕,하야시카와 케이테루,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-10-13,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,832 ",내친구아내,최은정,스마일컨텐츠,,스마일컨텐츠,2018-04-13,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,833 ",내친구아내-무삭제,최은정,스마일컨텐츠,,스마일컨텐츠,2018-05-22,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,834 ",내형의여자친구,남현수,스마일컨텐츠,,스마일컨텐츠,2018-04-20,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,835 ",내형의여자친구-무삭제,남현수,스마일컨텐츠,,스마일컨텐츠,2018-05-25,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,836 ",너를 접수해주마 - 밀회,쿠보데라 카즈토,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-02-03,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,837 ",너무 밝히는 사모님,후카마치 츠요시,,(주)아이브픽쳐스,(주)아이브픽쳐스,2017-03-22,개봉영화,장편,일본,1 ,7000,1 ,7000,1 ,성인물(에로),청소년관람불가,상업영화
"6,838 ",너의 사랑의 꽃은 피고,이마오카 신지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-02-17,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,839 ",네 이웃의 아내를 탐하지 마라,예고르 바라노프,,(주)피터팬픽쳐스,(주)피터팬픽쳐스,2016-11-24,개봉영화,장편,러시아,1 ,7000,1 ,0,0 ,범죄,청소년관람불가,다양성영화
"6,840 ",네가 사랑한 육체 - 관계,사토 오사무,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-09-16,개봉영화,장편,일본,1 ,5000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,841 ",네시 앤 미,짐 위노스키,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2017-10-12,개봉영화,장편,미국,1 ,2000,1 ,0,0 ,드라마,전체관람가,상업영화
"6,842 ",네이비씰: 어둠의 전쟁,마크 C. 앤드류스,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2017-01-12,개봉영화,장편,미국,1 ,2000,1 ,2000,1 ,액션,15세이상관람가,상업영화
"6,843 ",넥스트 제네레이션 패트레이버 6,오시이 마모루,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-06-11,개봉영화,장편,일본,1 ,5000,1 ,5000,1 ,액션,12세이상관람가,상업영화
"6,844 ",노골적인 형수님,가토 이타야,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-12-01,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,845 ",노리개: 친구의 아내,카스가 요시노리,,(주)영진크리에이티브,(주)영진크리에이티브,2016-09-10,개봉영화,장편,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,846 ",노리코의 은밀한 사생활,사카모토 레이,,(주)아컴스튜디오,(주)아컴스튜디오,2016-06-20,개봉영화,장편,일본,1 ,5000,1 ,5000,1 ,성인물(에로),청소년관람불가,상업영화
"6,847 ",노예로 삼아줘 - 첫사랑,타지리 유지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-09-02,개봉영화,장편,일본,1 ,5000,1 ,5000,1 ,성인물(에로),청소년관람불가,상업영화
"6,848 ",노예의 성욕-불기둥,카타오카 슈지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-08-03,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,849 ",노을지는 거실의 정사,이시카와 히토시,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-08-19,개봉영화,장편,일본,1 ,5000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,850 ",노조미의 음탕한 섹스,쿄우야 타다시,,(주)영화사 사계절,(주)영화사 사계절,2015-09-12,개봉영화,장편,일본,1 ,9000,1 ,9000,1 ,멜로/로맨스,청소년관람불가,상업영화
"6,851 ",노조미의 음탕한 섹스(무삭제),쿄우야 타다시,,(주)영화사 사계절,(주)영화사 사계절,2016-02-20,개봉영화,장편,일본,1 ,10000,1 ,10000,1 ,멜로/로맨스,청소년관람불가,상업영화
"6,852 ",노천온천과 게이샤,타케호라 테츠야,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-05-24,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,853 ",노천탕과 음란 마사지,후지모리 유타카,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-12-01,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,854 ",노천탕의 여주인,칸바라 이쿠토,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-01-12,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,855 ",노출 쾌락 거유녀-전편,우수바시 수이,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-11-01,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,856 ",노출 쾌락 거유녀-후편,우수바시 수이,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-12-01,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,857 ",노출대왕 유부녀,후지모리 켄타,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-07-20,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,858 ",노팬티로 외출하기,우수바시 수이,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-10-01,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,859 ",농염한 불륜녀,세키네 카즈미,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-04-27,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,860 ",농염한 유부녀의 손가락,카네다 사토시,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-08-12,개봉영화,장편,일본,1 ,5000,1 ,5000,1 ,성인물(에로),청소년관람불가,상업영화
"6,861 ",농익은 유부녀들,사카다 히로키,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-06-22,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,862 ",농익은 젊은과부의 꽃잎,카에데,,(주)영진크리에이티브,(주)영진크리에이티브,2017-10-13,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,863 ",누나 친구 2 무삭제,채준우,(주)영화사 사계절,,(주)영화사 사계절,2017-10-17,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,864 ",누나들의 진한 유혹,다케다 히데오,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-05-01,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,865 ",누나와 하코네 온천여행,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-01-04,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,866 ",누나친구 : 이혼하고 온 날,이상민,(주)영화사가을,,(주)영화사가을,2018-02-20,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,867 ",누나친구 : 이혼하고 온 날 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-03-28,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,868 ",누드모델,박범수,(주)케이알씨지,,(주)케이알씨지,2017-06-06,개봉영화,장편,한국,1 ,3000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,869 ",누드모델 리사와 오빠,카와이 켄지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-10-02,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,870 ",누드모델 무삭제 특별판,박범수,(주)케이알씨지,,(주)케이알씨지,2017-07-04,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,멜로/로맨스,청소년관람불가,상업영화
"6,871 ",누드모델과 화가,테이 쟈가,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-02-02,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,872 ",누드모델과의 섹스,밤비노 푸린,,(주)영진크리에이티브,(주)영진크리에이티브,2017-06-14,개봉영화,장편,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,873 ",눈맞은 유부녀,타지리 유지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-02-03,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,874 ",뉴저지 사이코킬러,,,주식회사 레드아이스,주식회사 레드아이스,2018-02-10,개봉영화,장편,미국,1 ,3000,1 ,0,0 ,,15세이상관람가,상업영화
"6,875 ",느끼는 꽃잎의 입술,이시카와 칸,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-01-27,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,876 ",느끼는 유부녀의 꿀단지,타나카 야스후미,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-05-25,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,877 ",늑대소녀,자레드 콘,,(주)케이알씨지,(주)케이알씨지,2017-09-08,개봉영화,장편,미국,1 ,2000,1 ,2000,1 ,공포(호러),15세이상관람가,상업영화
"6,878 ",능욕 보험 영업의 비밀,우수바시 수이,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-11-01,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,879 ",능욕당하는 여자,시온 코마츠,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-08-03,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,880 ",능욕정사: 내 옆집의 남자,키탄,,(주)영진크리에이티브,(주)영진크리에이티브,2017-01-31,개봉영화,장편,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,881 ",니코: 마법 세계로의 여행,로버트 킬라오,,(주)나우콘텐츠,(주)나우콘텐츠,2016-12-13,개봉영화,장편,미국,1 ,8000,1 ,0,0 ,애니메이션,전체관람가,상업영화
"6,882 ",닌자헌터-사냥의 시작,치바 세이지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-08-12,개봉영화,장편,일본,1 ,5000,1 ,5000,1 ,액션,청소년관람불가,상업영화
"6,883 ","님프, 피의 요정",밀란 토도로빅,,브릿지웍스 엔터테인먼트(주),브릿지웍스 엔터테인먼트(주),2015-08-07,개봉영화,장편,세르비아,1 ,5000,1 ,5000,1 ,공포(호러),청소년관람불가,상업영화
"6,884 ",다다미 방의 정사,오쿠 와타루,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-12-02,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,885 ",다다미방의 유부녀,마스부치 가키토,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-04-05,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,886 ",다루기 쉬운 육덕 장모,드래곤 니시카와,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-03-01,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,887 ",다빈치 트레져,피터 머비스,,(주)케이알씨지,(주)케이알씨지,2016-12-29,개봉영화,장편,미국,1 ,5000,1 ,0,0 ,어드벤처,15세이상관람가,상업영화
"6,888 ",다이아몬드 하이스트,로버트 콜타이,,(주)퍼스트런,(주)퍼스트런,2016-10-20,개봉영화,장편,헝가리,1 ,5000,1 ,0,0 ,코미디,청소년관람불가,상업영화
"6,889 ",다이하드 스왓,앨런 웅거,,(주)케이알씨지,(주)케이알씨지,2017-09-01,개봉영화,장편,캐나다,1 ,2000,1 ,2000,1 ,액션,청소년관람불가,상업영화
"6,890 ",다크 리플렉션,트리스탄 로레인,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2017-10-18,개봉영화,장편,영국,1 ,3000,1 ,0,0 ,드라마,12세이상관람가,상업영화
"6,891 ",다크 타이드,존 스톡웰,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2015-12-05,개봉영화,장편,미국,1 ,10000,1 ,0,0 ,어드벤처,12세이상관람가,상업영화
"6,892 ",다크 투어리스트,수리 크리쉬나마,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2016-10-27,개봉영화,장편,미국,1 ,4000,1 ,0,0 ,범죄,청소년관람불가,상업영화
"6,893 ",다크니스,마르코스 에프론,,(주)케이앤엔터테인먼트,(주)케이앤엔터테인먼트,2013-02-19,개봉영화,장편,미국,1 ,4000,1 ,0,0 ,공포(호러),청소년관람불가,상업영화
"6,894 ",다크니스: 타락천사,,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2017-08-29,개봉영화,장편,영국,1 ,3000,1 ,0,0 ,스릴러,청소년관람불가,상업영화
"6,895 ",단란한 가족: 너무 하고싶어요,무라야마 쿄스케,,(주)영진크리에이티브,(주)영진크리에이티브,2017-09-30,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,896 ",단발머리,오자키 히로코우지,,(주)플라이어,(주)플라이어,2017-02-22,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,드라마,청소년관람불가,상업영화
"6,897 ",단지처 길들이기 - 유부녀,타지리 유지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-12-16,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,898 ",단지처 대낮의 정사,사카다 히로키,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-06-15,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,899 ",단한번의 불륜-연하남,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-01-11,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,900 ",달빛섹스정사-기모노,키타가와 아츠야,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-11-25,개봉영화,장편,일본,1 ,5000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,901 ",달아오른 여자들:병원,나가에 타카미,,(주)영진크리에이티브,(주)영진크리에이티브,2017-09-11,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,902 ",달콤한 사무실 육정,제제 다카히사,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-06-08,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,903 ",달콤한 여선배,양석우,(주)영화사히트,,(주)영화사히트,2017-08-28,개봉영화,장편,한국,1 ,3000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,904 ",달콤한 여선배 무삭제,양석우,(주)영화사히트,,(주)영화사히트,2017-11-27,개봉영화,장편,한국,1 ,5000,1 ,5000,1 ,,청소년관람불가,상업영화
"6,905 ",달콤한 입술 맛보기,카네다 사토시,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-04-06,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,906 ",달콤한 젊은 미망인,다테 류지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-06-02,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,907 ",당구장의 육덕녀,긴 류지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-02-22,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,908 ",당일치기 온천여행,오우치 아이리,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-03-01,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,909 ",대낮의 출장 마사지,드래곤 니시카와,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-06-01,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,910 ",대머리 오일마사지사,칸바라 나오토,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-01-02,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,911 ",대범한 불륜 정사,하야시카와 케이테루,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-03-02,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,912 ",대사건,두기봉,,(주)시네마천국,(유)영화사 화수분,2016-09-29,개봉영화,장편,홍콩,1 ,6000,1 ,0,0 ,액션,15세이상관람가,상업영화
"6,913 ",더 데이: 최후의 심판,조엘 노보아,,(주)엔케이컨텐츠,(주)엔케이컨텐츠,2017-05-16,개봉영화,장편,미국,1 ,3000,1 ,0,0 ,SF,15세이상관람가,상업영화
"6,914 ",더 라스트: 최후의 날,존 클레인,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2017-09-16,개봉영화,장편,미국,1 ,2000,1 ,2000,1 ,스릴러,청소년관람불가,상업영화
"6,915 ",더 러버스,롤랑 조페,,(주)누리픽쳐스,(주)누리픽쳐스,2018-02-13,개봉영화,장편,벨기에,1 ,6000,1 ,0,0 ,액션,15세이상관람가,다양성영화
"6,916 ",더 머쉰,카라독 제임스,,라인트리엔터테인먼트 ,라인트리엔터테인먼트 ,2014-06-19,개봉영화,장편,영국,1 ,7000,1 ,7000,1 ,액션,청소년관람불가,상업영화
"6,917 ",더 바인딩,,,주식회사 레드아이스,주식회사 레드아이스,2017-11-15,개봉영화,장편,미국,1 ,3000,1 ,0,0 ,공포(호러),15세이상관람가,상업영화
"6,918 ",더 베일,브렌트 라이언 그린,,(주)퍼스트런,(주)퍼스트런,2017-05-19,개봉영화,장편,미국,1 ,3000,1 ,0,0 ,액션,15세이상관람가,상업영화
"6,919 ",더 와처스: 라스트 히어로,아르툠 악세넨코,,(주)퍼스트런,(주)퍼스트런,2017-04-28,개봉영화,장편,러시아,1 ,3000,1 ,0,0 ,범죄,15세이상관람가,상업영화
"6,920 ",더 와처스: 방콕,아르툠 악세넨코,,(주)퍼스트런,(주)퍼스트런,2017-05-15,개봉영화,장편,러시아,1 ,3000,1 ,0,0 ,범죄,15세이상관람가,상업영화
"6,921 ",더 와처스: 비기닝,아르툠 악세넨코,,(주)퍼스트런,(주)퍼스트런,2017-03-31,개봉영화,장편,러시아,1 ,5000,1 ,0,0 ,범죄,15세이상관람가,상업영화
"6,922 ",더 와처스: 잭 팟,아르툠 악세넨코,,(주)퍼스트런,(주)퍼스트런,2017-04-17,개봉영화,장편,러시아,1 ,3000,1 ,0,0 ,범죄,15세이상관람가,상업영화
"6,923 ",더 인베이젼,저스틴 존스,,(주)케이알씨지,(주)케이알씨지,2016-12-21,개봉영화,장편,미국,1 ,5000,1 ,0,0 ,스릴러,청소년관람불가,상업영화
"6,924 ",더 정글,앤드류 트라우키,,제인앤유,제인앤유,2017-01-11,개봉영화,장편,호주,1 ,7000,1 ,7000,1 ,스릴러,15세이상관람가,상업영화
"6,925 ",더 킹 오브 엠파이어,케네스 카인츠,,(주)소나무픽쳐스,(주)소나무픽쳐스,2017-01-12,개봉영화,장편,덴마크,1 ,5000,1 ,0,0 ,액션,15세이상관람가,다양성영화
"6,926 ",더 타겟,존 허즈펠드,,(주)에이블엔터테인먼트,(주)에이블엔터테인먼트,2015-04-09,개봉영화,장편,미국,1 ,9000,1 ,9000,1 ,드라마,청소년관람불가,상업영화
"6,927 ",더 하이브,데이빗 야로베스키,,(주)제이에이와이이엔터테인먼트,(주)제이에이와이이엔터테인먼트,2016-01-07,개봉영화,장편,미국,1 ,7000,1 ,7000,1 ,공포(호러),청소년관람불가,상업영화
"6,928 ",더 호드,자레드 콘,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2017-04-21,개봉영화,장편,미국,1 ,3000,1 ,0,0 ,액션,청소년관람불가,상업영화
"6,929 ",더럽혀진 웨딩드레스,나쿠루 하라다,,(주)영진크리에이티브,(주)영진크리에이티브,2017-06-30,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,930 ",더블 유부녀 스와핑,타나카 야스후미,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-10-06,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,931 ",더블유엠디: 대량살상무기,리차드 핼펀,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2017-03-02,개봉영화,장편,미국,1 ,2000,1 ,0,0 ,전쟁,청소년관람불가,상업영화
"6,932 ",데드 스토리,수닐 트리푸라네니,,(주)영화사 안다미로,(주)영화사 안다미로,2018-04-13,개봉영화,장편,미국,1 ,1000,1 ,0,0 ,공포(호러),15세이상관람가,상업영화
"6,933 ",데드 웨스트,,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2017-09-07,개봉영화,장편,미국,1 ,2000,1 ,2000,1 ,액션,15세이상관람가,상업영화
"6,934 ",데몬 헌터,조 카바나,,(주)퍼스트런,(주)퍼스트런,2017-07-27,개봉영화,장편,미국,1 ,3000,1 ,0,0 ,액션,15세이상관람가,상업영화
"6,935 ",데몬: 악령의 저주,란드 보슬러,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2017-09-16,개봉영화,장편,캐나다,1 ,2000,1 ,2000,1 ,공포(호러),청소년관람불가,상업영화
"6,936 ",데블스 윙즈,대니얼 콜롬비,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2017-02-16,개봉영화,장편,미국,1 ,3000,1 ,0,0 ,액션,청소년관람불가,상업영화
"6,937 ",데블핸드,크리스티안 E.크리스티안센,,(주)에이원엔터테인먼트,(주)에이원엔터테인먼트,2015-12-17,개봉영화,장편,미국,1 ,5000,1 ,0,0 ,공포(호러),청소년관람불가,상업영화
"6,938 ",데빌스 노트,아톰 에고이안,,(주)누리픽쳐스,(주)누리픽쳐스,2014-12-04,개봉영화,장편,미국,1 ,8000,1 ,8000,1 ,범죄,15세이상관람가,상업영화
"6,939 ",데스 트랩:사신의 법칙,요코야마 카즈히로,,(주)영진크리에이티브,(주)영진크리에이티브,2017-07-07,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,공포(호러),15세이상관람가,상업영화
"6,940 ",데스가즘,제이슨 레이 하우덴,,유니콘미디어(주),오퍼스픽쳐스,2015-10-15,개봉영화,장편,뉴질랜드,1 ,5000,1 ,5000,1 ,공포(호러),청소년관람불가,상업영화
"6,941 ",데이식스,바로 벤투리,,(주)티에스앤컴퍼니,(주)티에스앤컴퍼니,2015-05-28,개봉영화,장편,이탈리아,1 ,5000,1 ,5000,1 ,스릴러,15세이상관람가,상업영화
"6,942 ",델 플라야,숀 하트,,주식회사 플릭스코,주식회사 플릭스코,2018-04-12,개봉영화,장편,미국,1 ,6000,1 ,0,0 ,공포(호러),청소년관람불가,상업영화
"6,943 ",도깨비 섹스,가와사키 히로유키,,퍼즐컷,퍼즐컷,2015-04-30,개봉영화,장편,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
"6,944 ",도망자 2016,제이슨 모모아,,(주)케이알씨지,(주)케이알씨지,2017-01-05,개봉영화,장편,미국,1 ,5000,1 ,0,0 ,범죄,15세이상관람가,상업영화
"6,945 ",도시 전설,다이치로 나츠메,,(주)영진크리에이티브,(주)영진크리에이티브,2017-07-03,개봉영화,장편,일본,1 ,6000,1 ,0,0 ,공포(호러),청소년관람불가,상업영화
"6,946 ",도시락집 여주인과 연하남,카네다 사토시,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-12-08,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
"6,947 ",도촬 생중계 보기,타나카 야스후미,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-03-02,개봉영화,장편,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,상업영화
