rank,mname,director,provider,date,country,n_scrn,guest,genre,rating,grade,actor,director_score,director_grade,actor_score,actor_grade,grene_score,grene_grade,provider1_power,providera_grade,provider2_power,providerb_grade
"1,067",페이스 블라인드,줄리앙 마그넷,(주)마인스 엔터테인먼트,2012-06-21,미국,179,88977,범죄,청소년관람불가,7.36,밀라 요보비치|줄리안 맥마혼|,2.087047694, ,4.98680481,,0.655022605,,Na,Na,Na,Na
"1,068",더 콜,브래드 앤더슨,(주)넥스트엔터테인먼트월드(NEW),2013-06-20,미국,241,88953,스릴러,청소년관람불가,8.34,아비게일 브레스린|할리 베리|모리스 체스트넛|,11.44485874, ,4.852015291,,0.871939002,,9.28721,a,9.28721,a
"1,069",콜드 라잇 오브 데이,마브룩 엘 메크리,씨너스엔터테인먼트(주),2012-05-17,미국,245,88522,액션,15세이상관람가,6.25,헨리 카빌|브루스 윌리스|시고니 위버|,2.628744297, ,5.54915318,,1.992455235,,1.26444,d,1.26444,e
"1,070",살인자,이기욱,(주)영화사 빅,2014-01-15,한국,207,88199,스릴러,청소년관람불가,5.9,마동석|안도규|김현수|,4.699094781, ,7.269236223,,0.871939002,,Na,Na,2.04346,d
"1,071",락 오브 에이지,아담 쉥크만,워너브러더스 코리아(주),2012-08-02,미국,243,87915,뮤지컬,15세이상관람가,7.5,톰 크루즈|캐서린 제타 존스|알렉 볼드윈|폴 지아마티|말린 애커맨|줄리안 허프|디에고 보네타|러셀 브랜드|,8.031584609, ,5.674527715,,1.013685355,,7.12231,b,7.12231,b
"1,072",몬스터 콜,후안 안토니오 바요나,롯데쇼핑㈜롯데엔터테인먼트,2017-09-14,스페인,349,87841,판타지,12세이상관람가,8.56,펠리시티 존스|리암 니슨|시고니 위버|루이스 맥더겔|,16.50288644, ,5.631266566,,1.604409874,,11.42832,a,11.42832,a
"1,073",사우스포,안톤 후쿠아,씨네그루(주)다우기술,2015-12-03,미국,335,87426,드라마,15세이상관람가,8.53,제이크 질렌할|레이첼 맥아담스|포레스트 휘태커|나오미 해리스|우나 로렌스|,0, ,5.52379644,,3.26752385,d,0.90905,e,Na,Na
"1,074",갤로우즈,"트래비스 클러프,크리스 로핑",워너브러더스 코리아(주),2015-09-03,미국,299,87301,공포(호러),15세이상관람가,6.84,캐시디 지포드|파이퍼 브라운|라이언 슈즈|,8.031584609,e,4.7763629,,-0.176144965,,7.12231,b,7.12231,b
"1,075",팅커 테일러 솔저 스파이,토마스 알프레드슨,팝엔터테인먼트,2012-02-09,영국,187,87155,스릴러,15세이상관람가,8.2,톰 하디|게리 올드만|베네딕트 컴버배치|마크 스트롱|콜린 퍼스|스티븐 그레이엄|,0, ,6.925827602,,0,,Na,Na,Na,Na
"1,076",여중생A,이경섭,롯데컬처웍스(주)롯데엔터테인먼트,2018-06-20,한국,479,86843,드라마,12세이상관람가,6.53,김환희|수호|,0.366985184, ,5.868420826,,3.619562379,c,3.51216,e,3.51216,c
"1,077",허큘리스,브렛 래트너,워너브러더스 코리아(주),2014-08-06,미국,278,86528,액션,15세이상관람가,7.37,드웨인 존슨|이안 맥쉐인|존 허트|,8.031584609, ,6.272854828,,2.014906991,,7.12231,b,7.12231,b
"1,078",플로리다 프로젝트,션 베이커,오드,2018-03-07,미국,126,86406,드라마,15세이상관람가,8.54,브루클린 프린스|윌렘 대포|브리아 비나이트|,0, ,0,,3.619562379,c,Na,Na,Na,Na
"1,079",슈퍼 프렌즈,"이경호,이원재",씨네그루(주)키다리이엔티,2016-08-10,한국,255,86293,애니메이션,전체관람가,8.73,변현우|김지혜|서지연|남도형|홍진욱|김승태|박조호|,2.33289481, ,4.798289418,,1.468025358,,1.16419,d,Na,Na
"1,080",숀더쉽,"마크 버튼,리처드 스타잭",(주)박수엔터테인먼트,2015-08-13,영국,263,85568,애니메이션,전체관람가,8.41,저스틴 플레쳐|존 스파크스|오미드 다릴리|리차드 웨버|,5.304287759, ,0,,1.236377895,,Na,Na,2.31572,d
"1,081",빅 아이즈,팀 버튼,판씨네마(주),2015-01-28,미국,290,85200,드라마,12세이상관람가,8.24,에이미 아담스|크리스토프 왈츠|,4.125059528, ,5.448991273,,3.619562379,c,2.13094,c,2.13094,d
"1,082",레전드 오브 래빗,순리준,(주)화앤담이엔티,2012-02-22,중국,225,85184,애니메이션,전체관람가,5.94,천환런|,0, ,0,,1.468025358,,Na,Na,Na,Na
"1,083",유스,파올로 소렌티노,그린나래미디어(주),2016-01-07,이탈리아,65,85166,드라마,15세이상관람가,8.34,마이클 케인|하비 케이틀|레이첼 와이즈|폴 다노|제인 폰다|,2.272591522, ,5.164544077,,3.619562379,c,Na,Na,Na,Na
